Date,High,Low,Open,Close
01/21/1987 00:00:00,270.87,267.35,267.84,267.84
01/22/1987 00:00:00,274.05,267.32,273.91,273.91
01/23/1987 00:00:00,280.96,268.41,270.1,270.1
01/26/1987 00:00:00,270.4,267.73,269.61,269.61
01/27/1987 00:00:00,274.31,269.61,273.75,273.75
01/28/1987 00:00:00,275.71,273.03,275.4,275.4
01/29/1987 00:00:00,276.85,272.54,274.24,274.24
01/30/1987 00:00:00,274.24,271.38,274.08,274.08
02/02/1987 00:00:00,277.35,273.16,276.45,276.45
02/03/1987 00:00:00,277.83,275.84,275.99,275.99
02/04/1987 00:00:00,279.65,275.35,279.64,279.64
02/05/1987 00:00:00,282.26,278.66,281.16,281.16
02/06/1987 00:00:00,281.79,279.87,280.04,280.04
02/09/1987 00:00:00,280.04,277.24,278.16,278.16
02/10/1987 00:00:00,278.16,273.49,275.07,275.07
02/11/1987 00:00:00,277.71,274.71,277.54,277.54
02/12/1987 00:00:00,278.04,273.89,275.62,275.62
02/13/1987 00:00:00,280.91,275.01,279.7,279.7
02/17/1987 00:00:00,285.49,279.7,285.49,285.49
02/18/1987 00:00:00,287.55,282.97,285.42,285.42
02/19/1987 00:00:00,286.24,283.84,285.57,285.57
02/20/1987 00:00:00,285.98,284.31,285.48,285.48
02/23/1987 00:00:00,285.5,279.37,282.38,282.38
02/24/1987 00:00:00,283.33,281.45,282.88,282.88
02/25/1987 00:00:00,285.35,282.14,284,284
02/26/1987 00:00:00,284.4,280.73,282.96,282.96
02/27/1987 00:00:00,284.55,282.77,284.2,284.2
03/02/1987 00:00:00,284.83,282.3,283,283
03/03/1987 00:00:00,284.19,282.92,284.12,284.12
03/04/1987 00:00:00,288.62,284.12,288.62,288.62
03/05/1987 00:00:00,291.24,288.6,290.52,290.52
03/06/1987 00:00:00,290.67,288.77,290.66,290.66
03/09/1987 00:00:00,290.66,287.12,288.3,288.3
03/10/1987 00:00:00,290.88,287.89,290.86,290.86
